HomeTeam,AwayTeam,Date,HT_HM_1h_s,HT_HM_1h_m,HT_HM_2h_s,HT_HM_2h_m,HT_AM_1h_s,HT_AM_1h_m,HT_AM_2h_s,HT_AM_2h_m,AT_HM_1h_s,AT_HM_1h_m,AT_HM_2h_s,AT_HM_2h_m,AT_AM_1h_s,AT_AM_1h_m,AT_AM_2h_s,AT_AM_2h_m,HT_FM_1h_s,HT_FM_2h_s,AT_FM_1h_s,AT_FM_2h_s
Fortuna Dusseldorf,Union Berlin,2019-12-22,0,1,0,2,0,1,0,2,0,0,0,2,1,1,0,0,1,1,0,1
Paderborn,Ein Frankfurt,2019-12-22,1,1,0,0,0,0,0,2,2,1,0,3,0,0,0,1,2,0,0,1
Schalke 04,M'gladbach,2020-01-17,1,0,1,2,0,0,1,1,0,0,2,0,0,0,0,0,0,2,0,0
Augsburg,Dortmund,2020-01-18,1,0,2,0,1,0,0,3,2,0,1,3,1,0,0,2,1,2,0,5
FC Koln,Wolfsburg,2020-01-18,1,0,0,0,1,2,3,0,0,0,1,1,0,0,0,2,2,1,0,1
Fortuna Dusseldorf,Werder Bremen,2020-01-18,1,0,1,1,0,1,0,2,0,4,0,1,0,1,0,0,0,0,0,1
Hoffenheim,Ein Frankfurt,2020-01-18,0,1,2,0,0,0,2,0,2,1,0,3,0,2,1,0,0,1,1,1
Mainz,Freiburg,2020-01-18,0,0,0,1,4,0,1,0,0,1,1,2,0,1,2,1,0,1,2,0
RB Leipzig,Union Berlin,2020-01-18,0,1,3,0,0,2,3,1,0,0,0,2,0,1,1,1,0,3,1,0
Hertha,Bayern Munich,2020-01-19,0,0,0,0,0,0,1,0,0,0,2,0,1,0,2,1,0,0,0,4
Paderborn,Leverkusen,2020-01-19,2,0,0,1,0,0,0,2,0,0,0,1,0,0,1,0,0,1,3,1
Dortmund,FC Koln,2020-01-24,2,0,1,3,0,1,5,2,2,0,1,1,1,2,3,0,2,3,0,1
Ein Frankfurt,RB Leipzig,2020-01-25,2,1,0,3,1,0,1,1,0,1,3,0,0,2,3,1,0,2,0,0
Freiburg,Paderborn,2020-01-25,0,1,1,2,2,0,0,1,0,3,1,1,0,0,0,2,0,0,0,2
M'gladbach,Mainz,2020-01-25,0,0,2,0,0,0,0,2,0,2,1,0,4,0,1,0,1,2,1,0
Union Berlin,Augsburg,2020-01-25,0,0,0,2,1,0,0,3,1,0,2,5,1,0,0,3,0,2,0,0
Wolfsburg,Hertha,2020-01-25,0,0,1,1,0,2,1,1,0,0,0,4,0,0,1,0,0,1,0,2
Bayern Munich,Schalke 04,2020-01-25,0,0,2,0,0,0,4,0,0,0,2,0,0,0,1,1,2,3,0,0
Werder Bremen,Hoffenheim,2020-01-26,0,4,0,1,0,0,1,0,0,1,1,1,0,0,2,0,0,0,0,3
Leverkusen,Fortuna Dusseldorf,2020-01-26,0,0,0,1,3,0,1,1,0,0,0,1,0,1,0,2,1,2,0,0
Hertha,Schalke 04,2020-01-31,0,0,0,4,0,0,2,1,0,0,2,0,0,2,0,3,0,0,0,0
Augsburg,Werder Bremen,2020-02-01,1,0,2,5,0,0,0,2,0,0,0,3,0,0,1,0,0,2,1,0
Dortmund,Union Berlin,2020-02-01,2,0,3,1,0,1,5,2,0,0,2,0,1,0,0,3,2,3,0,0
Fortuna Dusseldorf,Ein Frankfurt,2020-02-01,0,0,0,1,0,1,0,2,0,0,2,0,1,0,1,1,0,1,0,1
Hoffenheim,Leverkusen,2020-02-01,0,1,1,1,0,0,3,0,1,0,2,0,3,0,1,1,1,1,1,0
Mainz,Bayern Munich,2020-02-01,0,2,1,0,1,1,0,2,2,0,3,0,0,0,4,0,1,0,3,0
RB Leipzig,M'gladbach,2020-02-01,0,1,3,0,0,0,0,2,1,1,2,0,0,0,0,2,0,2,2,0
FC Koln,Freiburg,2020-02-02,2,0,1,1,0,2,1,3,0,0,0,2,2,0,0,1,1,3,0,0
Paderborn,Wolfsburg,2020-02-02,0,3,1,1,0,0,2,0,0,0,1,2,0,2,1,1,1,1,2,2
Ein Frankfurt,Augsburg,2020-02-07,0,0,2,0,0,0,1,1,0,1,2,0,0,0,0,2,1,4,0,0
Freiburg,Hoffenheim,2020-02-08,0,0,0,2,0,1,0,3,1,1,1,0,0,0,3,0,1,0,0,0
Hertha,Mainz,2020-02-08,0,0,0,0,0,0,2,1,1,3,0,0,1,1,0,2,0,1,1,2
Schalke 04,Paderborn,2020-02-08,0,0,2,0,0,0,0,0,1,2,1,2,0,0,2,0,0,1,0,1
Werder Bremen,Union Berlin,2020-02-08,0,0,0,3,1,0,0,2,0,0,2,0,0,2,0,3,0,0,0,2
Wolfsburg,Fortuna Dusseldorf,2020-02-08,0,0,1,2,2,1,2,1,0,0,1,1,0,1,0,2,0,1,1,0
Leverkusen,Dortmund,2020-02-08,1,0,2,0,1,1,0,1,2,0,3,0,0,1,5,2,2,2,2,1
Bayern Munich,RB Leipzig,2020-02-09,2,0,3,0,3,1,0,0,0,2,2,0,0,0,0,2,0,0,0,0
Dortmund,Ein Frankfurt,2020-02-14,2,0,3,0,2,2,1,2,1,0,4,0,0,0,1,1,1,3,0,0
Augsburg,Freiburg,2020-02-15,0,1,2,0,0,1,0,4,1,0,0,0,0,1,0,3,1,0,0,1
Hoffenheim,Wolfsburg,2020-02-15,1,1,1,0,0,1,0,0,0,1,1,0,2,1,2,1,1,1,1,2
Paderborn,Hertha,2020-02-15,1,2,1,2,0,0,1,1,0,1,1,2,0,0,2,1,0,1,1,1
RB Leipzig,Werder Bremen,2020-02-15,0,2,2,0,0,0,0,0,0,0,0,2,1,0,0,2,2,1,0,0
Union Berlin,Leverkusen,2020-02-15,0,0,2,0,0,0,2,0,2,2,2,1,1,1,0,1,1,1,1,2
Fortuna Dusseldorf,M'gladbach,2020-02-15,0,0,1,1,1,0,0,1,1,1,2,0,2,0,0,2,1,0,1,3
FC Koln,Bayern Munich,2020-02-16,1,0,3,0,0,2,1,3,0,0,0,0,3,1,0,0,0,1,3,1
Mainz,Schalke 04,2020-02-16,1,3,0,0,1,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0
Bayern Munich,Paderborn,2020-02-21,0,0,0,0,3,0,1,1,0,1,1,1,0,0,1,1,1,2,1,1
Freiburg,Fortuna Dusseldorf,2020-02-22,1,0,0,0,0,1,1,0,1,1,0,3,1,0,0,1,0,0,1,1
Hertha,FC Koln,2020-02-22,0,1,1,2,1,0,1,1,0,3,1,1,0,2,1,3,0,0,3,2
M'gladbach,Hoffenheim,2020-02-22,1,1,2,0,1,1,3,0,1,1,1,2,0,1,0,0,1,0,0,1
Werder Bremen,Dortmund,2020-02-22,0,0,0,2,0,2,0,1,1,0,3,0,2,2,1,2,0,0,0,2
Schalke 04,RB Leipzig,2020-02-22,0,0,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,4
Leverkusen,Augsburg,2020-02-23,2,2,2,1,1,1,2,1,1,0,0,1,0,1,0,4,1,1,0,0
Wolfsburg,Mainz,2020-02-23,0,1,1,0,1,1,2,1,0,0,0,0,1,0,2,1,2,2,0,0
Ein Frankfurt,Union Berlin,2020-02-24,1,0,4,0,0,1,0,3,1,1,1,2,0,0,2,0,0,1,0,2
Fortuna Dusseldorf,Hertha,2020-02-28,1,1,0,3,1,0,1,0,0,3,0,2,1,0,1,1,3,0,0,3
Augsburg,M'gladbach,2020-02-29,1,0,0,1,0,1,0,1,1,0,0,1,1,1,3,0,0,2,0,3
Dortmund,Freiburg,2020-02-29,1,0,3,0,0,0,2,0,0,1,0,1,0,1,1,0,1,0,0,0
Hoffenheim,Bayern Munich,2020-02-29,1,1,1,2,0,1,1,0,1,1,2,1,3,0,1,1,0,0,4,2
Mainz,Paderborn,2020-02-29,0,0,0,0,0,2,0,2,0,1,1,1,1,1,1,2,2,0,0,0
FC Koln,Schalke 04,2020-02-29,0,3,1,1,3,0,2,0,0,1,0,4,0,0,0,0,2,1,0,0
Union Berlin,Wolfsburg,2020-03-01,1,1,1,2,0,0,2,1,2,0,2,0,1,1,2,1,1,1,0,2
RB Leipzig,Leverkusen,2020-03-01,2,0,1,0,1,0,4,0,1,0,1,0,1,1,2,1,1,0,1,0
Paderborn,FC Koln,2020-03-06,0,1,1,1,0,2,0,0,2,0,1,0,3,0,2,0,0,1,2,0
Freiburg,Union Berlin,2020-03-07,0,1,0,1,0,1,0,0,1,0,1,2,0,0,2,1,1,2,0,1
Hertha,Werder Bremen,2020-03-07,0,3,0,2,0,3,3,0,0,0,0,2,0,2,0,1,1,1,2,0
Leverkusen,Ein Frankfurt,2020-03-07,1,0,1,0,1,1,0,0,0,0,1,2,0,1,0,3,2,2,0,0
Schalke 04,Hoffenheim,2020-03-07,0,1,0,4,0,2,0,1,0,4,0,2,0,1,1,0,1,0,0,1
Wolfsburg,RB Leipzig,2020-03-07,2,0,2,0,0,1,2,1,1,1,0,0,1,0,4,0,0,0,0,0
