HomeTeam,AwayTeam,Date,HT_HM_1h_s,HT_HM_1h_m,HT_HM_2h_s,HT_HM_2h_m,HT_AM_1h_s,HT_AM_1h_m,HT_AM_2h_s,HT_AM_2h_m,AT_HM_1h_s,AT_HM_1h_m,AT_HM_2h_s,AT_HM_2h_m,AT_AM_1h_s,AT_AM_1h_m,AT_AM_2h_s,AT_AM_2h_m,HT_FM_1h_s,HT_FM_2h_s,AT_FM_1h_s,AT_FM_2h_s
Brighton,Everton,2019-10-26,2,0,1,0,1,1,0,1,1,0,1,0,0,0,0,1,1,2,1,1
Watford,Bournemouth,2019-10-26,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
West Ham,Sheffield United,2019-10-26,0,0,1,2,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1
Burnley,Chelsea,2019-10-26,0,0,1,0,1,1,0,1,0,0,1,0,3,1,1,0,0,2,2,2
Newcastle,Wolves,2019-10-27,0,0,1,0,0,0,0,1,0,0,1,1,0,0,2,0,1,0,0,1
Arsenal,Crystal Palace,2019-10-27,1,0,0,0,0,1,0,0,0,2,0,0,0,0,2,1,2,0,1,1
Liverpool,Tottenham,2019-10-27,1,0,1,1,0,1,1,0,0,1,1,0,0,2,0,1,0,2,1,0
Norwich,Man United,2019-10-27,0,2,1,3,0,0,0,0,1,0,0,1,0,0,0,1,0,1,2,1
Bournemouth,Man United,2019-11-02,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,1,1,0,0,0
Arsenal,Wolves,2019-11-02,2,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1
Aston Villa,Liverpool,2019-11-02,1,1,1,0,0,0,0,3,0,1,2,0,0,1,1,0,1,0,0,2
Brighton,Norwich,2019-11-02,1,1,2,1,1,1,0,1,0,2,1,1,0,0,0,0,0,2,0,0
Man City,Southampton,2019-11-02,0,0,3,0,2,0,0,0,0,5,0,4,0,0,1,1,0,2,1,0
Sheffield United,Burnley,2019-11-02,1,0,0,0,0,1,1,0,0,2,2,2,1,1,0,1,3,0,0,0
West Ham,Newcastle,2019-11-02,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,2,2,1
Watford,Chelsea,2019-11-02,0,0,0,0,1,0,0,1,0,0,1,0,2,0,2,2,0,1,1,1
Crystal Palace,Leicester,2019-11-03,0,2,0,0,1,2,1,0,1,1,1,0,5,0,4,0,0,0,0,2
Everton,Tottenham,2019-11-03,1,0,1,0,1,1,1,2,0,1,1,0,1,0,0,2,0,1,0,1
Norwich,Watford,2019-11-08,0,2,1,1,0,0,0,2,0,1,1,1,1,0,0,1,0,0,1,1
Chelsea,Crystal Palace,2019-11-09,0,0,1,0,1,0,1,1,0,0,0,2,1,2,1,0,0,2,0,0
Burnley,West Ham,2019-11-09,0,2,2,2,0,3,0,0,0,2,2,1,0,1,0,1,2,1,0,0
Newcastle,Bournemouth,2019-11-09,1,0,0,1,2,0,1,2,1,0,0,0,0,0,0,0,1,1,1,0
Southampton,Everton,2019-11-09,0,5,0,4,1,0,0,2,0,0,1,1,1,1,1,2,0,1,1,1
Tottenham,Sheffield United,2019-11-09,0,1,1,0,0,0,1,1,3,0,0,0,0,1,1,0,0,1,0,1
